Date,Token,Open Price,Close Price,Percentage Increase
2024-12-31,Litecoin,101.16,103.1,1.91775405298537
2025-01-01,Ripple,2.09,2.31,10.5263157894737
2025-01-02,Solana,192.9,206.95,7.28356661482633
2025-01-03,Cardano,0.960069,1.094,13.9501431667932
2025-01-04,Sui,4.83,5.21,7.86749482401656
2025-01-05,Cardano,1.072,1.095,2.14552238805969
2025-01-06,Bitcoin,98030.0,101878.0,3.92532898092421
